PHOX2B	SOX10	PRRX1	GATA3	SNAI2	HAND2
-3.450391	-16.167607	-3.972943	-9.576508	-9.687123	-11.029522
11.040624	-21.917195	-3.972943	5.872986	-9.687123	5.105523
10.073745	-21.474546	-5.335168	1.045854	-8.128369	0.844895
10.532526	-21.474550	-5.335168	7.929020	-8.128369	7.279494
-3.495204	-15.980384	-5.335168	-2.463344	-8.128369	-7.615402
-1.459130	1.870863	5.559341	-10.598010	7.178542	-3.468486
7.927414	-15.737441	-4.880965	1.077302	-12.084231	-0.121564
0.247514	-11.390192	-4.880965	-8.695876	-12.084231	-9.664019
11.218792	-15.737448	-4.880965	7.707188	-12.084231	6.556079
-4.046654	5.856667	7.684021	-15.058711	4.645562	-10.753735
-11.665856	6.532087	6.652750	-11.843986	7.661533	-6.764401
6.197647	1.092486	6.652749	1.410523	7.643426	5.339587
9.444591	-11.062810	-4.948421	7.135930	-8.870589	5.964503
-8.319513	-5.681017	-3.665343	-6.195544	-8.870515	-6.377979
3.350532	2.466577	7.206027	-2.152881	7.045351	4.550714
7.214230	-16.053707	-3.304568	4.706374	-7.995015	7.647524
-8.893857	6.655318	7.206046	-13.070015	7.062402	-10.310134
-10.092203	-10.243749	-3.304544	-6.548142	-7.995015	-9.619190
8.367395	4.864678	8.472591	3.458135	4.242509	6.217748
-4.079659	-7.381195	-2.771974	-0.298523	-9.820416	-9.081618
-6.340673	7.443984	8.472591	-9.673895	4.242509	-9.598287
8.862210	-9.942830	-2.771974	7.986552	-9.820416	6.217786
5.264573	-17.167945	-3.426912	2.528853	-8.609720	-1.834030
-2.451722	6.441140	8.853712	-8.406476	8.395046	-12.760492
-3.560047	-12.232434	-3.426912	-7.508079	-8.609720	-12.820918
9.590391	-17.168435	-3.426912	6.427300	-8.609720	3.827586
-5.339421	-9.319612	-1.923386	-9.277750	-8.983790	-11.739312
10.540582	-15.102966	-1.977304	6.184625	-9.023129	5.906269
11.556713	1.501932	7.217088	3.340034	5.453615	5.907056
0.540794	7.252566	7.704153	-9.924590	5.741948	-9.105564
-6.789088	2.915162	8.628415	-12.883119	4.907067	-4.850959
-8.071174	-4.985444	-2.097847	-9.335354	-12.382591	-4.850948
8.595880	-9.202649	-2.097852	7.323408	-12.522610	5.992427
2.865836	-7.367076	-2.097852	5.555091	-12.517609	-0.240196
-6.240209	-13.191545	-5.397483	-8.426340	-10.687335	-10.409157
4.522708	-15.131604	-5.397483	-1.837989	-10.687335	-3.898778
12.813216	-15.994533	-5.397483	9.723624	-10.687335	5.806489
-5.095935	3.729063	6.322612	-14.467751	6.799442	-10.198435
-6.069331	-12.103552	-6.596918	-9.417810	-7.014443	-13.098890
4.914236	-14.370142	-6.596918	2.227194	-7.014443	-1.738456
7.532307	-14.370819	-6.596918	7.299386	-7.014443	4.889636
-5.858873	5.484536	5.307827	-14.223667	6.326787	-12.762561
-7.696119	-9.895137	-2.867404	-8.223372	-11.909152	-12.038873
-8.484933	6.034054	7.358225	-13.738503	5.024392	-12.039237
5.719102	-13.817531	-2.884236	1.999979	-11.909153	-0.386434
8.915264	-15.703748	-2.885109	5.887161	-11.909153	5.694606
9.842419	-11.621909	-3.659233	4.627996	-14.344850	2.890002
4.186347	-10.032524	-3.620089	-3.367892	-14.344797	-1.579372
-4.066142	-6.478061	-3.108170	-9.899237	-14.343761	-11.239509
-4.707405	6.353767	7.665259	-16.212040	4.586782	-11.328486
-8.380382	-10.170381	-5.474360	-11.679193	-10.837933	-7.134370
6.399292	-15.445212	-5.474470	6.939627	-10.837933	6.485317
-7.384250	7.970956	5.139038	-15.032788	6.187380	-7.208743
7.370305	2.264759	5.139038	3.586000	6.145031	6.443574
11.884842	-13.806026	-5.473290	6.221149	-9.845754	4.707447
1.429590	7.308123	5.862513	-5.146810	5.074737	-4.125556
-1.201366	-7.306143	-5.470243	-9.131414	-9.624905	-8.194228
-1.770700	7.639652	5.862616	-11.362946	5.076378	-8.306424
-5.393968	8.480419	7.524088	-13.174433	7.816697	-11.951524
-5.153140	-4.970766	-3.551274	-10.163230	-9.509519	-11.951524
7.600985	2.532985	7.509056	2.761181	7.815205	4.752511
7.933206	-10.960813	-3.751698	5.760917	-10.631996	4.752966
-5.815379	-7.257162	-5.190320	-8.110648	-10.386972	-13.771918
-1.135052	6.717841	5.310968	-11.175973	4.975658	-13.716852
8.690899	-11.739777	-5.190331	6.152682	-10.407872	4.264967
11.546488	2.458049	5.291674	3.111911	4.974688	4.259061
8.115647	-12.965514	1.283835	5.801639	-0.830296	7.662982
-7.686635	-6.935903	1.468466	-8.696583	-0.777304	-6.644362
-3.600939	4.647321	6.332511	-14.161922	5.906781	-6.644364
4.185732	1.676190	5.786595	-8.827700	5.869623	-1.668580
8.567124	-17.653609	-6.411759	7.547279	-10.504845	7.668465
-3.976052	-11.244302	-6.382590	-8.386792	-10.504338	-9.101412
-0.391630	6.175191	5.423952	-8.666988	5.755968	-6.522943
4.493266	1.170603	4.832732	-4.347578	5.512453	-4.981087
8.992125	-15.261766	-4.487452	5.627753	-9.099118	6.467011
-1.803717	6.811352	5.490269	-11.584251	6.460317	-3.957238
10.207053	2.563086	5.457835	4.106785	6.451076	6.466918
-3.003365	-11.138658	-4.487435	-10.772231	-9.099115	-4.573149
-6.101903	7.118080	7.294828	-9.406924	6.336719	-12.983735
9.431625	-11.775785	-2.810018	9.433868	-8.409650	4.916349
9.396376	2.107632	7.292366	5.895644	6.304005	4.916349
-6.088511	-6.759080	-2.764956	-5.867699	-8.409213	-12.983735
-6.691487	7.688845	8.333009	-12.539665	5.751889	-11.970884
-12.356329	-4.275899	1.323185	-12.196448	-1.964504	-11.970884
9.966259	1.892374	8.095115	2.513473	5.745293	4.399304
5.573372	-10.128824	1.194247	3.042463	-1.973594	4.405785
-9.503304	5.059389	8.044750	-16.158138	6.110139	-11.147281
-9.051925	-5.786653	-3.403231	-9.938473	-11.359224	-11.147281
-2.878840	2.616008	1.492753	-9.938767	-5.294574	-11.146580
2.655784	-9.022395	-4.477254	3.769650	-11.359225	6.097960
-7.620944	8.065321	7.404843	-13.694919	7.165819	-11.677722
8.148637	1.805797	6.974252	2.067407	7.128318	5.863782
8.378471	-15.753270	-0.877271	7.626394	-7.556798	5.867073
-7.483231	-9.523217	-0.823787	-8.132781	-7.529053	-11.677722
9.080966	-12.555674	-3.019794	4.737194	-7.829153	8.029632
6.765677	3.073786	6.955922	0.058257	7.749410	7.404846
-6.456869	4.519262	7.119034	-14.612146	7.776504	-7.624795
-5.926205	-11.109938	-3.014481	-9.969433	-7.827500	-7.623076
-8.949357	-12.122368	-2.363629	-8.798653	-7.175848	-12.485594
8.550417	-18.039294	-2.363681	5.983266	-7.175860	5.022693
4.867670	-18.039294	-2.363681	1.095636	-7.175860	-1.190148
