PHOX2B	SOX10	PRRX1	GATA3	SNAI2	HAND2
-5.612930	-10.469554	-2.861751	-13.912069	-7.321560	-8.318304
7.237262	2.056819	6.263188	0.446322	4.316235	5.267086
5.297350	-13.829105	-2.861751	4.201188	-7.321560	6.496167
-1.258348	2.208109	1.294877	-13.875965	-1.388038	-7.567099
-3.063608	5.421733	6.319725	-17.592759	4.355339	-8.238168
4.383580	-13.057412	-7.626875	2.698731	-9.298313	7.431015
9.511444	1.575480	2.452771	2.676551	8.433049	7.431193
-7.564002	8.103212	2.452778	-15.122197	8.459908	-9.014674
-12.698357	-6.918155	-7.626875	-15.100022	-9.253491	-9.014674
-7.109321	2.047929	-0.977938	-15.099943	-2.285839	-9.014674
-8.588548	6.802126	7.752701	-12.766599	7.256186	4.771819
-3.599576	-8.952129	-2.372005	-1.432110	-8.907386	4.780499
5.021820	-13.254459	-2.372005	2.228683	-8.907386	8.987742
-10.160628	6.802126	7.752701	-14.649396	7.256186	0.548333
-8.416959	-8.952129	-2.372005	-4.086558	-8.907386	0.548437
1.816028	3.778269	5.143722	-11.394921	8.193512	1.282709
6.081003	-9.297944	-2.681202	2.812262	-10.288796	7.905156
-10.280904	-5.607900	-2.681192	-14.354155	-10.288199	-1.323871
-7.345926	7.266511	5.143722	-16.559064	8.193514	-1.323843
8.296306	3.556733	5.143722	0.514747	8.193511	6.337526
-6.461994	-9.080619	-2.940786	-12.205695	-10.174000	-7.992517
-4.897408	5.367097	7.959849	-17.888746	4.534401	-7.611038
0.302838	-9.453479	-2.940786	-2.741950	-10.174093	7.126823
3.615684	-12.623908	-2.940786	-1.723309	-10.174229	8.985886
5.849820	-12.628661	-2.940786	3.555415	-10.174229	9.382893
-8.495124	-11.370598	-5.729399	-13.717599	-15.494517	-4.727273
5.280621	-16.842345	-5.729399	-5.312545	-15.494520	5.572708
-1.678355	-11.370788	-5.729399	-13.467332	-15.494517	1.680101
7.328499	-17.104200	-5.729399	-0.334355	-15.494520	5.753250
-3.707153	5.971721	5.870089	-18.560016	2.985113	1.632462
-5.730225	4.641958	3.953269	-12.752854	6.389048	-11.110438
8.503642	-11.868072	-5.528898	4.209512	2.063145	6.850151
-4.861514	-6.599145	-5.528699	-8.329284	2.063201	-11.098360
-4.886073	-11.377057	-7.637487	-8.341419	-2.227404	-11.099230
8.502991	-16.645800	-7.637487	4.209512	-2.227404	6.850151
-4.852834	9.215030	5.028620	-13.922249	6.161166	-10.406248
-0.196159	4.970581	-0.011299	-7.311297	-1.383428	-7.455100
-3.446242	-7.244155	-4.450433	-11.597111	-10.246041	-9.801530
2.802018	-7.745570	-4.450483	1.936513	-10.246318	6.107538
6.649017	4.207556	-0.011332	1.927589	-1.383469	6.680176
-12.249147	6.927667	7.814599	-15.359032	7.223450	-1.453897
-10.039757	-9.362170	-4.417315	-11.323680	-8.439837	-1.423615
6.699470	-15.239289	-4.417386	2.417959	-8.483298	6.658171
-12.285136	2.908951	7.478469	-15.186141	0.576784	-1.454105
3.602146	-15.239260	-4.417386	-3.158301	-8.483298	5.685502
-12.490711	-11.391670	-7.873086	-14.314009	-10.070810	-8.195752
-7.444698	6.513372	4.323871	-15.176139	5.724806	-8.195751
3.577243	2.528630	4.323868	-4.472356	5.388238	2.066535
4.919742	-16.630217	-7.873086	2.770967	-10.079833	7.144808
9.513628	1.243464	4.323804	1.858427	4.970437	7.110042
3.412093	-7.440507	-2.165013	3.044156	-9.858597	7.144687
-12.713931	8.624106	7.413607	-12.812217	5.933565	-9.901890
-6.900194	-4.344275	-2.164145	-10.077477	-9.320590	-9.901890
-7.489598	1.610222	1.446931	-10.527362	-2.960200	-9.901890
-7.496467	3.215850	1.449514	-10.528077	-0.684350	-9.901890
5.275166	1.840540	3.874793	-3.612149	6.310240	5.744199
8.357279	1.689651	3.873816	2.184729	6.298514	7.441237
-6.376905	6.648983	3.876215	-13.266400	6.324012	-5.620915
3.030178	-1.751165	-6.700064	-3.432441	-2.288065	5.776445
3.660156	-5.396770	-6.831675	2.413934	-2.289517	7.467578
-10.172318	-2.464664	1.742107	-10.836194	5.927875	-10.522332
6.331351	-7.258807	1.741812	4.311043	3.923594	5.272540
-9.793817	7.628451	7.048092	-16.096472	9.343691	-10.522332
-11.489947	-8.008315	-4.222724	-10.835363	-2.734135	-10.522332
6.375549	-12.800606	-4.223836	4.311912	-2.848121	5.272541
-10.523748	5.594434	5.768417	-16.080256	9.043640	-6.974881
3.991034	-5.034263	4.317007	2.469347	5.593451	8.233269
-12.142347	-8.608280	-0.875189	-13.508131	-3.835299	-6.977631
